document_id,filename,file_type,processed_at,classification,department,sentiment,confidence_score,summary,routing_tag,sensitivity,action_items,cvss_score,cve_ids
hs-vuln-901,vuln_scan_critical_openssl.md,md,2026-06-26T08:12:00Z,vulnerability-scan,NetSec,negative,0.94,Critical OpenSSL RCE (CVE-2026-21841) on 23 internet-facing TLS hosts; unauthenticated RCE possible,escalate,confidential,"[{""action"":""Emergency-patch perimeter gateways"",""owner"":""NetSec"",""priority"":""P0""}]",9.8,CVE-2026-21841
hs-intr-902,siem_bruteforce_bastion.md,md,2026-06-26T06:40:00Z,intrusion,Identity-Sec,negative,0.91,SIEM detected 412 failed SSH logins then a successful auth from a new ASN against the bastion host,escalate,confidential,"[{""action"":""Block source ASN + force MFA"",""owner"":""SecOps"",""priority"":""P0""}]",7.2,
hs-phish-903,phishing_kyc_harvest.txt,txt,2026-06-26T05:18:00Z,phishing,SecOps,negative,0.88,Look-alike KYC domain harvested staff credentials; 3 sessions compromised before takedown,escalate,confidential,"[{""action"":""Revoke sessions + rotate creds"",""owner"":""IAM"",""priority"":""P0""}]",,
hs-malw-904,edr_beacon_c2.md,md,2026-06-25T23:55:00Z,malware,SecOps,negative,0.86,CrowdStrike flagged endpoint beaconing to a known Cobalt Strike C2 over DNS,escalate,confidential,"[{""action"":""Isolate host + sweep estate"",""owner"":""SecOps"",""priority"":""P0""}]",8.1,CVE-2026-30771
hs-data-905,s3_exposure_pii.md,md,2026-06-25T20:30:00Z,data-incident,Security-IR,negative,0.93,Misconfigured S3 bucket exposed customer PII for ~6h; regulator notification window opened,escalate,confidential,"[{""action"":""Lock bucket + legal review"",""owner"":""Security-IR"",""priority"":""P0""}]",9.1,
hs-vuln-906,nessus_log4j_internal.md,md,2026-06-25T17:10:00Z,vulnerability-scan,SecOps,negative,0.84,Qualys found a high Log4Shell-class finding on an internal reporting service,needs-review,confidential,"[{""action"":""Patch + WAF rule"",""owner"":""SecOps"",""priority"":""P1""}]",7.4,CVE-2026-44832
hs-ddos-907,ddos_volumetric_waf.md,md,2026-06-25T13:42:00Z,ddos,NetSec,negative,0.80,Volumetric UDP flood (~40 Gbps) absorbed by the WAF/scrubbing tier; brief edge latency,needs-review,internal,"[{""action"":""Review scrubbing thresholds"",""owner"":""NetSec"",""priority"":""P1""}]",5.5,
hs-degr-908,edge_cdn_sev2_eu_errors.pdf,pdf,2026-06-25T09:40:00Z,degradation,NetSec,neutral,0.78,Edge CDN cache nodes degraded in EU; elevated 5xx for ~18 min during cache refresh,auto-approved,public,"[{""action"":""Tune cache TTLs"",""owner"":""NetSec"",""priority"":""P2""}]",4.5,
hs-vuln-909,trivy_container_low.md,md,2026-06-24T22:05:00Z,vulnerability-scan,SecOps,neutral,0.72,Trivy reported a low-severity dependency CVE in a non-production build image,auto-approved,public,"[{""action"":""Bump dependency next sprint"",""owner"":""SecOps"",""priority"":""P2""}]",2.5,CVE-2026-11002
hs-conf-910,config_drift_staging.txt,txt,2026-06-24T15:20:00Z,configuration,SecOps,neutral,0.69,Non-production security-group drift corrected during a maintenance window; no exposure,auto-approved,public,"[{""action"":""Enforce IaC guardrail"",""owner"":""SecOps"",""priority"":""P2""}]",,
hs-intr-911,recon_portscan_perimeter.md,md,2026-06-24T11:08:00Z,intrusion,NetSec,negative,0.82,Distributed port-scan reconnaissance against the perimeter from rotating IPs; no breach,needs-review,internal,"[{""action"":""Add deny-list + monitor"",""owner"":""NetSec"",""priority"":""P1""}]",6.1,
